Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,1998,6.52520,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,1999,6.33819,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2000,6.00704,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2001,6.66279,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2002,7.36357,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2003,7.91131,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2004,9.22355,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2006,11.17372,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2007,11.88114,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2008,12.05400,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2009,12.06439,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2010,11.39735,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2011,10.84299,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2012,11.41816,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2013,14.95880,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2014,17.15147,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2015,15.42526,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2016,15.29062,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2017,15.55024,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2018,15.81254,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,1998,5.29546,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,1999,3.59329,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2000,5.02556,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2001,4.17383,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2004,5.11287,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2005,5.64094,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2006,6.88362,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2007,9.39764,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2008,11.04369,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2009,12.55422,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2010,15.03153,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2011,23.82519,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2013,20.04361,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2014,23.44185,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2015,23.49317,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2018,19.41104,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2018,40.14985,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,E
ECARO:TRANSMONEE(1.0),BG,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,1998,56.37997,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,1999,56.33003,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2000,56.62672,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2001,57.52026,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2002,58.48280,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2003,46.84922,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2004,49.24352,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_GER_L3_VOC,_T,SCH_AGE_GROUP,_T,_T,2005,48.76236,PCNT,,A,UIS: EDUNF_GER_L3_VOC,0,A
