Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1976,0.94486,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1978,0.95587,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1979,0.95563,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1980,0.96757,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1981,0.96412,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1982,0.97230,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1983,0.98839,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1984,0.97296,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1985,0.98444,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1986,0.99151,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1987,0.97686,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1988,1.00966,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1989,1.00604,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1990,1.00459,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1991,1.00398,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1992,1.01642,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1993,1.03497,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1994,0.98764,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1995,0.96867,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1996,0.97385,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1997,0.96628,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1998,0.96947,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1999,0.98146,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2000,0.99717,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2001,1.01539,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2002,0.99434,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2003,1.00944,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2004,1.01350,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2005,1.00536,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2006,1.00844,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2007,1.00776,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2008,1.00249,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2009,0.99718,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2010,1.00642,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2011,1.01557,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2012,1.01601,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2013,1.02221,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2014,1.03682,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2015,1.03130,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2016,1.03555,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2017,1.03224,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2018,1.03765,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1991,1.03887,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1992,1.02017,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1993,1.01905,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1994,1.02877,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1995,1.02327,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1996,1.03398,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1997,1.07293,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,1999,1.11516,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2000,1.01329,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2001,1.02198,GPI,,A,UIS: EDUNF_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L1,_T,SCH_AGE_GROUP,_T,_T,2002,1.00306,GPI,,A,UIS: EDUNF_L1,0,A
