Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1976,0.90771,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1978,0.90485,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1979,0.91311,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1980,0.89152,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1981,0.88834,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1982,0.90107,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1983,0.93212,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1984,0.92915,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1985,0.90721,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1986,0.90496,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1987,0.91934,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1988,0.92440,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1989,0.92550,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1990,0.91452,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1991,0.91924,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1992,1.01195,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1993,1.05314,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1994,1.02204,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1995,0.99398,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1996,0.99772,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1997,0.97470,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,1999,0.96264,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2000,0.96644,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2001,0.97363,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2004,0.96412,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2005,0.96543,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2006,0.97463,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2007,0.99227,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2008,0.99890,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2009,1.03197,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2010,1.00547,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2011,0.99156,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2012,0.97586,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2013,0.95973,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2014,0.94445,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2015,0.95622,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2016,0.97086,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2017,0.98903,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2018,1.00539,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2000,1.09857,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2007,1.00453,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2008,0.99186,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2009,0.97758,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2010,0.98223,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2011,1.00332,GPI,,A,UIS: EDUNF_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_L2_3,_T,SCH_AGE_GROUP,_T,_T,2013,1.03976,GPI,,A,UIS: EDUNF_L2_3,0,A
