Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_LR_L02,_T,Y15T24,_T,_T,2001,99.43515,PCNT,,A,UIS: EDUNF_LR_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_LR_L02,_T,Y15T24,_T,_T,2008,98.83121,PCNT,,A,UIS: EDUNF_LR_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_LR_L02,_T,Y15T24,_T,_T,2011,98.79119,PCNT,,A,UIS: EDUNF_LR_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_LR_L02,_T,Y15T24,_T,_T,2012,99.23140,PCNT,,A,UIS: EDUNF_LR_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_LR_L02,_T,Y15T24,_T,_T,2018,99.33000,PCNT,,A,UIS: EDUNF_LR_L02,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_LR_L02,_T,Y15T24,_T,_T,1989,99.90996,PCNT,,A,UIS: EDUNF_LR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_LR_L02,_T,Y15T24,_T,_T,2001,99.80728,PCNT,,A,UIS: EDUNF_LR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_LR_L02,_T,Y15T24,_T,_T,2011,99.84740,PCNT,,A,UIS: EDUNF_LR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_LR_L02,_T,Y15T24,_T,_T,2017,99.84702,PCNT,,A,UIS: EDUNF_LR_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_LR_L02,_T,Y15T24,_T,_T,1999,99.88610,PCNT,,A,UIS: EDUNF_LR_L02,0,A
