Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,1999,1.08194,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2001,1.13489,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2003,1.07729,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2004,1.04256,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2008,1.00852,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2009,1.03135,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2010,1.01198,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2011,1.03032,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2012,1.03039,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2015,1.03978,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2018,1.07614,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,1999,0.87424,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2000,1.03201,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2001,0.94309,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2002,1.02607,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2003,0.98582,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2004,0.93238,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2005,0.91414,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2006,0.96475,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2007,1.01925,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2008,0.99022,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_GPIA,_T,M023,_T,_T,2009,1.01666,GPIA,,A,UIS: EDUNF_NERA_L1_GPIA,0,E
