Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1999,96.79354,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2000,95.38335,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2001,93.86551,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2003,91.69871,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2004,90.92345,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2008,86.78701,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2009,85.34118,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2010,85.95611,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2011,86.99052,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2012,89.53195,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2013,95.41897,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2014,97.59204,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2015,97.79873,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2016,97.65542,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2017,97.77841,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2018,97.44221,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2002,87.13120,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2003,85.53043,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2005,88.61333,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2006,92.21765,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2007,97.07957,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2011,95.15386,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2012,96.41176,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2013,96.58810,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2014,94.12688,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2015,93.03258,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2016,92.49744,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2017,92.31421,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2018,90.84300,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1991,96.17142,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1992,96.14938,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1993,91.32005,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1994,83.26495,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1995,84.66302,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1996,93.50836,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1997,90.12694,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1998,88.72601,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1999,92.14110,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2000,88.23962,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2001,85.46340,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2002,84.91034,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2003,83.34630,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2004,84.28326,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2005,83.95354,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2006,83.77201,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2007,83.45841,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2008,83.98751,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2009,85.51890,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2010,84.72605,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2011,87.26808,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2012,89.29003,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2013,93.67068,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2014,94.81210,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2015,94.26275,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2016,94.96529,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2017,97.93103,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2018,92.61575,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,E
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1996,93.93516,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1997,95.00390,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1998,97.46041,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,1999,97.58017,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2000,97.09026,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2001,97.10991,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2002,96.03343,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2003,96.28332,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2004,96.96116,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_NERA_L1_PT,_T,SCH_AGE_GROUP,_T,_T,2005,95.79106,PCNT,,A,UIS: EDUNF_NERA_L1_PT,0,A
