Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2000,84.10461,PCNT,,A,UIS: EDUNF_NERA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2001,84.87182,PCNT,,A,UIS: EDUNF_NERA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2013,86.74185,PCNT,,A,UIS: EDUNF_NERA_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2014,87.94369,PCNT,,A,UIS: EDUNF_NERA_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2015,89.59661,PCNT,,A,UIS: EDUNF_NERA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2016,87.91844,PCNT,,A,UIS: EDUNF_NERA_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2017,87.29131,PCNT,,A,UIS: EDUNF_NERA_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2018,89.61851,PCNT,,A,UIS: EDUNF_NERA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2005,92.64916,PCNT,,A,UIS: EDUNF_NERA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NERA_L2,_T,SCH_AGE_GROUP,_T,_T,2006,92.82915,PCNT,,A,UIS: EDUNF_NERA_L2,0,A
