Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,1999,42.31086,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2000,42.77841,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2001,45.23442,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2003,48.33761,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2004,47.08262,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2005,49.73627,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2006,50.99614,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2007,51.41437,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2008,55.22797,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2009,58.15725,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2010,61.53198,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2011,65.76584,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2012,71.85747,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2013,75.29489,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2014,76.55601,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2015,76.12273,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2016,80.88931,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2017,79.85382,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2018,76.49993,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2018,35.14269,PCNT,,A,UIS: EDUNF_NER_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,1999,13.57651,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2000,14.55533,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2001,15.88789,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2002,17.11997,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2003,18.27002,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2004,19.09380,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2005,20.61590,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2006,21.33440,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2007,21.03948,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2008,20.31858,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2009,20.08243,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2010,21.62942,PCNT,,A,UIS: EDUNF_NER_L02,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NER_L02,_T,SCH_AGE_GROUP,_T,_T,2011,22.65952,PCNT,,A,UIS: EDUNF_NER_L02,0,E
