Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2010,73.40068,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2011,71.77423,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2012,77.49642,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2013,78.97057,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2014,77.16133,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2015,76.92378,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2016,75.98393,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2017,84.09642,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2018,80.19315,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2002,70.09584,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2014,88.01120,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2015,88.55052,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2016,91.22499,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2017,89.74836,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2018,85.78274,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,1998,82.15850,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,1999,85.94741,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2002,60.85538,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2003,62.70848,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2004,66.21266,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2005,62.51175,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2006,64.55885,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2007,66.56135,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2008,70.93465,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2009,71.04121,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_NIR_L1_ENTRYAGE,_T,TH_ENTRY_AGE,_T,_T,2010,67.98925,PCNT,,A,UIS: EDUNF_NIR_L1_ENTRYAGE,0,E
