Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2005,2.57132,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2006,3.05105,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2008,3.87805,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2009,4.02960,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2010,4.44627,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2011,4.65653,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2012,4.81818,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2013,4.98177,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2014,5.19261,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2015,5.41028,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2016,5.73093,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2017,6.45357,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L2,_T,_T,_T,_T,2018,6.52443,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L2,_T,_T,_T,_T,2001,0,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L2,_T,_T,_T,_T,2002,0.36365,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L2,_T,_T,_T,_T,2003,0.33626,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L2,_T,_T,_T,_T,2004,0.50434,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L2,_T,_T,_T,_T,2005,0.58362,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L2,_T,_T,_T,_T,2006,1.19539,PCNT,,A,UIS: EDUNF_PRP_L2,0,A
