Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,1998,0,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,1999,0,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2000,0,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2001,0,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2002,0,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2003,0,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2004,0.76395,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2005,1.55398,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2006,2.29574,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2007,6.63228,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2008,10.49158,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2009,14.32697,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2010,19.13657,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2011,20.28070,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2012,21.50100,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PRP_L5T8,_T,_T,_T,_T,2018,17.68677,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L5T8,_T,_T,_T,_T,2003,19.11699,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L5T8,_T,_T,_T,_T,2014,12.09656,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L5T8,_T,_T,_T,_T,2015,10.94035,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L5T8,_T,_T,_T,_T,2016,9.84176,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L5T8,_T,_T,_T,_T,2017,9.94201,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PRP_L5T8,_T,_T,_T,_T,2018,10.29147,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2006,15.00996,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2007,14.17414,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2008,13.77719,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2009,12.40320,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2010,13.01355,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2011,12.03267,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2012,11.38535,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2013,11.52567,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2014,11.07722,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2015,11.57569,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2016,10.96511,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2017,10.61708,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PRP_L5T8,_T,_T,_T,_T,2018,8.38198,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2010,16.65541,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2011,18.02542,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2012,20.26279,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2013,20.66479,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2014,20.07859,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2015,19.88292,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2016,20.50666,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2017,21.19199,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PRP_L5T8,_T,_T,_T,_T,2018,21.46371,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,1999,12.03138,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2000,10.49514,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2001,11.31106,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2002,12.55637,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2003,13.44132,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2004,14.35737,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2005,16.43444,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2006,18.54237,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2007,19.59280,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2008,20.78400,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2009,21.28738,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2010,21.95753,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2011,20.10201,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2012,18.50173,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2013,17.55500,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2014,16.36321,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2015,15.34631,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2016,14.31833,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PRP_L5T8,_T,_T,_T,_T,2017,13.59463,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,1999,10.34034,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2000,8.89208,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2002,10.49911,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2003,11.35966,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2004,14.91190,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2005,14.08342,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2006,13.56462,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2007,13.27952,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2008,13.25413,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2009,13.23557,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2010,13.21865,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2011,13.36779,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2012,12.66961,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2013,11.46810,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2014,10.30647,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2015,9.66303,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2016,8.87213,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PRP_L5T8,_T,_T,_T,_T,2017,7.68176,PCNT,,A,UIS: EDUNF_PRP_L5T8,0,A
