Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,1997,22.75761,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2000,22.56784,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2001,21.75244,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2003,21.49541,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2008,19.40780,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2009,20.17793,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2010,19.70208,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2011,19.86917,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2012,19.48298,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2013,19.12103,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2014,18.92294,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2015,18.61557,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2016,18.19844,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2017,17.94478,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L1,_T,_T,_T,_T,2018,17.57287,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L1,_T,_T,_T,_T,1991,17.67076,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L1,_T,_T,_T,_T,1994,20.61326,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L1,_T,_T,_T,_T,1996,19.00610,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L1,_T,_T,_T,_T,1997,15.96615,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L1,_T,_T,_T,_T,1998,15.99950,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L1,_T,_T,_T,_T,1999,16.07076,PS,,A,UIS: EDUNF_PTR_L1,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L1,_T,_T,_T,_T,2001,20.34410,PS,,A,UIS: EDUNF_PTR_L1,0,A
