Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,1997,14.77331,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2000,16.43434,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2001,16.96302,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2003,17.66389,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2008,16.79416,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2009,14.73210,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2010,14.77747,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2011,15.24414,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2012,14.89293,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2013,14.75715,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2014,14.29575,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2015,13.50589,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2016,12.22137,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2017,11.60265,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_PTR_L2_3,_T,_T,_T,_T,2018,11.19927,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L2_3,_T,_T,_T,_T,1991,8.50409,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L2_3,_T,_T,_T,_T,1994,10.50058,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L2_3,_T,_T,_T,_T,1996,9.75470,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_PTR_L2_3,_T,_T,_T,_T,2018,8.01689,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2018,7.60984,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PTR_L2_3,_T,_T,_T,_T,2013,11.12966,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PTR_L2_3,_T,_T,_T,_T,2014,10.64639,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PTR_L2_3,_T,_T,_T,_T,2015,10.14673,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PTR_L2_3,_T,_T,_T,_T,2016,9.73102,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PTR_L2_3,_T,_T,_T,_T,2017,9.34286,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_PTR_L2_3,_T,_T,_T,_T,2018,9.12290,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,1996,11.33101,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,1997,10.93134,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,1998,11.21690,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,1999,12.50347,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2000,11.85532,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2001,12.16587,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2002,12.07715,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2003,12.30837,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2004,12.23208,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2005,11.97562,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2006,11.74476,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2007,11.55461,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2008,11.47623,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2009,11.98892,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2010,12.08112,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2011,12.29774,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2012,12.32203,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2013,13.04041,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2014,13.22950,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_PTR_L2_3,_T,_T,_T,_T,2016,12.63651,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1972,13.58576,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1973,13.88499,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1974,14.04277,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1975,13.82650,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1976,12.53199,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1977,13.61812,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1978,13.66542,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1979,12.02703,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1980,12.11573,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1992,13.40997,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1993,12.90293,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1994,12.58101,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,1995,12.54100,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,2013,7.73805,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,2014,8.05511,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,2015,8.36258,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,2016,8.29763,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,2017,8.35604,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),BY,EDUNF_PTR_L2_3,_T,_T,_T,_T,2018,8.56276,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1971,12.35504,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1972,12.25761,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1973,11.86957,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1974,12.26973,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1975,11.79553,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1976,12.04358,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1977,12.34223,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1978,12.09457,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1979,11.95963,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1980,11.82051,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1982,12.57889,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1983,12.61455,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1984,12.77077,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1985,13.00501,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1986,13.14651,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1987,13.12261,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1988,13.03415,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1989,13.40768,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1990,13.33034,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1991,12.93109,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1992,12.30383,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1993,11.44020,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1994,11.31522,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1995,11.78502,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,1996,10.41089,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2001,10.80581,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2002,10.80932,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2003,10.75753,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2004,10.30692,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2005,10.44984,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2006,10.54638,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2007,11.55325,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2008,11.32133,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2009,11.15314,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2010,10.97634,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2011,11.32691,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2012,11.19134,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),CZ,EDUNF_PTR_L2_3,_T,_T,_T,_T,2013,11.54847,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1993,10.44152,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1994,10.33070,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1995,8.81703,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1996,10.11786,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1999,10.46366,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2000,9.79109,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2001,10.05493,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2007,9.92589,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2008,9.40907,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2009,9.44342,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2010,8.76124,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2011,8.77001,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2012,8.37591,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2013,8.09777,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2016,8.78266,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),EE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2017,9.18187,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1981,9.91427,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1986,9.92233,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1991,6.85243,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1992,6.40555,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1993,6.44267,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1994,6.41455,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1995,6.70817,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1996,6.40123,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1997,7.66106,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,1999,7.50714,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2000,7.46045,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2001,7.60845,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2002,9.40904,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2003,9.24507,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2008,7.46323,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2009,7.56748,PS,,A,UIS: EDUNF_PTR_L2_3,0,E
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2013,7.48672,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2014,7.24917,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2015,7.24706,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2016,7.44399,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2017,7.39342,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),GE,EDUNF_PTR_L2_3,_T,_T,_T,_T,2018,7.57537,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),HR,EDUNF_PTR_L2_3,_T,_T,_T,_T,1996,14.03702,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),HR,EDUNF_PTR_L2_3,_T,_T,_T,_T,1997,13.41580,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
ECARO:TRANSMONEE(1.0),HR,EDUNF_PTR_L2_3,_T,_T,_T,_T,1998,12.71989,PS,,A,UIS: EDUNF_PTR_L2_3,0,A
