Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2000,7.12167,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2001,6.31571,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2013,5.42662,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2014,5.24218,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2015,3.05841,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,5.17389,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,6.07264,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AL,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2018,3.05680,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2005,6.05935,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2006,6.21007,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2007,5.43893,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2009,2.05745,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2010,2.48381,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2011,5.25777,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,6.79751,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,7.37141,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AM,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2018,8.21479,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2006,10.36654,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2007,11.20977,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2008,10.75138,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2009,11.03110,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2010,11.61457,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2011,12.62993,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2012,12.83550,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2013,12.73821,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2014,12.60473,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2015,9.79391,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2016,5.98042,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2017,0.42551,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),AZ,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2018,0.52151,PCNT,,A,UIS: EDUNF_ROFST_L2,0,E
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,1996,4.63534,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,1997,4.26636,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,1998,3.69893,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,1999,4.41695,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2000,4.43516,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2001,3.40096,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2002,3.50396,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2003,3.01611,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2004,3.44938,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2005,4.18417,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2006,6.84369,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2007,8.03069,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2008,9.57558,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2009,10.77898,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2010,9.14823,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_ROFST_L2,_T,SCH_AGE_GROUP,_T,_T,2011,5.40557,PCNT,,A,UIS: EDUNF_ROFST_L2,0,A
