Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,1996,14309,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2000,16856,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2001,16442,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2003,10404,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2007,4478,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2008,4016,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2009,3347,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2010,3119,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2011,2755,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2012,2576,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2013,2328,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2014,1998,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2015,2716,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2016,2097,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2017,2074,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_RPTR_L2,_T,_T,_T,_T,2018,1519,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,1994,1497,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2002,903,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2003,860,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2004,705,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2005,686,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2006,718,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2007,596,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2008,263,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2009,370,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2014,446,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2015,536,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2016,688,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2017,346,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_RPTR_L2,_T,_T,_T,_T,2018,344,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,1993,2385,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,1994,3471,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,1996,5832,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,1997,8271,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,1999,6084,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2000,6652,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2001,6290,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2002,5290,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2003,6058,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2004,5035,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2005,4877,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2006,4539,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2007,4458,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2008,5204,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2009,4974,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2010,4358,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2011,13051,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2012,10402,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2013,8258,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2014,5406,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2015,1950,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2016,1459,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2017,928,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_RPTR_L2,_T,_T,_T,_T,2018,1774,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2010,605,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2011,570,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2012,534,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2013,529,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2014,477,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2015,441,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2016,411,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2017,337,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_RPTR_L2,_T,_T,_T,_T,2018,402,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_RPTR_L2,_T,_T,_T,_T,1972,30700,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_RPTR_L2,_T,_T,_T,_T,1973,26091,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_RPTR_L2,_T,_T,_T,_T,1974,22163,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_RPTR_L2,_T,_T,_T,_T,1975,17737,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_RPTR_L2,_T,_T,_T,_T,1976,11982,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_RPTR_L2,_T,_T,_T,_T,1977,10421,PS,,A,UIS: EDUNF_RPTR_L2,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_RPTR_L2,_T,_T,_T,_T,1978,8726,PS,,A,UIS: EDUNF_RPTR_L2,0,A
