Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,1995,96.01242,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2000,92.13965,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2006,93.13712,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2007,91.73468,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2008,90.90950,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2009,93.77300,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2010,95.67596,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2011,97.38718,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2012,99.38403,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2013,98.29026,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2014,96.27678,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2016,94.49390,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_SR_L2,_T,_T,_T,_T,2017,94.30520,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2002,92.26220,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2003,94.30700,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2004,98.64127,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2005,98.33962,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2006,97.13094,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2007,94.98639,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2008,97.06249,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2016,94.52067,PCNT,,A,UIS: EDUNF_SR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_SR_L2,_T,_T,_T,_T,2017,94.88719,PCNT,,A,UIS: EDUNF_SR_L2,0,A
