Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1971,47524,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1972,52727,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1980,86280,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1981,92490,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1982,96790,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1983,99120,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1984,103000,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1985,107450,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1986,110603,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1987,113840,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1988,118277,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1989,121000,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1990,125312,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1991,130007,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1992,108889,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1993,81117,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1994,80395,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1995,80384,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1996,84536,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1997,84232,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1998,80813,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,1999,81734,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2000,82880,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2001,82290,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2002,78473,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2003,81285,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2004,79906,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2005,78765,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2006,78483,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2007,75781,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2008,76278,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2009,75445,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2010,74914,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2011,76389,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2012,80488,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2013,81865,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2014,81448,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2015,82494,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2016,82623,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2017,81194,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L02_TOT,_T,_T,_T,_T,2018,81026,PS,,A,UIS: EDUNF_STU_L02_TOT,0,A
