Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2005,6464,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2006,7457,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2008,8880,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2009,8937,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2010,9569,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2011,9547,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2012,9496,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2013,9562,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2014,9417,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2015,9470,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PRV,_T,_T,_T,_T,2016,9395,PS,,A,UIS: EDUNF_STU_L2_PRV,0,A
