Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,1999,261341,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2000,260718,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2001,266940,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2003,257163,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2004,251054,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2005,244924,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2006,236951,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2008,220101,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2009,212847,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2010,205645,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2011,195477,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2012,187591,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2013,182378,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2014,171937,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2015,165567,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2016,154540,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2017,143373,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2018,139101,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2001,292368,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2002,288785,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2003,280974,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2004,269483,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2005,265738,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2006,250361,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2007,231461,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2008,219648,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2009,210312,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2016,157931,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2017,159528,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2018,162430,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,1998,684066,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,1999,710746,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2000,720976,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2001,806656,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2002,834550,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2003,822712,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2004,812338,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2005,810167,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2006,798265,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2007,769707,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2008,741335,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2009,704603,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2010,662080,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2011,634524,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2012,604383,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2013,585701,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2014,572411,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2015,571538,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2016,578541,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2017,597179,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2018,618701,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2010,174062,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2011,163351,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2012,148581,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2013,140937,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2014,139478,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2015,132569,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2016,128335,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2017,124579,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2018,122018,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_STU_L2_PUB,_T,_T,_T,_T,1999,366770,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2000,366148,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2001,365099,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2002,357448,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2003,347311,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2004,329599,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2005,311566,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
ECARO:TRANSMONEE(1.0),BG,EDUNF_STU_L2_PUB,_T,_T,_T,_T,2007,275068,PS,,A,UIS: EDUNF_STU_L2_PUB,0,A
