Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,1998,628,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2000,1975,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2001,2823,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2002,3978,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2003,6280,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2004,5627,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2006,9023,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2007,10769,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2008,12106,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2009,9868,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2010,10758,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2011,12595,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2012,14436,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2013,15913,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2014,16671,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2015,,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2016,,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2017,,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2018,12246,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2002,352,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2003,671,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2004,880,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2005,1124,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2006,1451,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2007,1440,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2008,1049,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2009,1226,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2010,1384,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2011,1347,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2013,2567,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2014,2122,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2015,2199,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2018,1555,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,1998,0,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,1999,0,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2000,0,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2001,0,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2002,0,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2003,801,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2004,887,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2005,988,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2006,1015,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2007,1243,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2008,1327,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2009,1359,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2010,1397,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2011,1324,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2012,1378,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2013,1496,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2014,1574,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2015,525,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2016,1060,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2017,1163,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2018,1322,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2010,2253,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2011,2485,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2012,2961,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2013,3460,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2014,2924,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2015,2834,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_PRV,_T,_T,_T,_T,2016,2238,PS,,A,UIS: EDUNF_STU_L3_GEN_PRV,0,A
