Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,1998,83161,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,1999,87028,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2000,88470,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2001,91786,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2002,100082,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2003,106361,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2004,112793,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2005,122277,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2006,126300,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2007,132349,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2008,135814,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2009,101277,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2010,109893,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2011,118842,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2012,118566,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2013,114224,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2014,108585,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2015,,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2016,,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2017,,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2018,87211,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2002,89008,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2003,93913,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2004,95493,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2005,94285,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2006,99420,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2007,98745,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2008,83459,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2009,86113,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2010,81058,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2011,69818,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2013,80021,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2014,74649,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2015,69169,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2018,48018,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,1998,178920,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,1999,194792,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2000,201721,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2001,190531,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2002,184006,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2003,248066,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2004,267124,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2005,253201,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2006,248553,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2007,252570,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2008,248690,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2009,231141,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2010,218663,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2011,205263,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2012,193151,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2013,186096,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2014,183777,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2015,185627,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_PUB,_T,_T,_T,_T,2016,179672,PS,,A,UIS: EDUNF_STU_L3_GEN_PUB,0,A
