Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,1998,83789,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,1999,87028,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,2000,90445,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,2001,94609,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,2002,104060,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,2003,112641,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,2004,118420,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,2006,135323,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,2007,143118,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_TOT,_T,_T,_T,_T,2008,147920,PS,,A,UIS: EDUNF_STU_L3_GEN_TOT,0,A
