Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,1998,15560,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,1999,15133,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2000,14501,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2001,16387,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2002,18495,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2003,20291,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2004,24029,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2006,29249,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2007,30151,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2008,29652,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2009,21658,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2010,20006,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2011,18697,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2012,19180,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2013,24288,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2014,26681,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2015,22801,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2016,21424,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2017,20981,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2018,20605,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,1998,6032,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,1999,4192,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2000,6016,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2001,5122,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2004,6471,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2005,7029,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2006,8281,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2007,10765,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2008,12048,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2009,12996,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2010,14638,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2011,21659,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2013,24358,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2014,26614,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2015,25281,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2018,19676,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2018,152777,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2007,123495,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2008,118262,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2009,110681,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2010,109424,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2011,112962,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2012,122203,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2013,122273,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L3_GEN_VOC,_T,_T,_T,_T,2014,116285,PS,,A,UIS: EDUNF_STU_L3_GEN_VOC,0,A
