Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,1998,0,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2000,0,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2001,0,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2002,0,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2003,0,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2004,2077,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2006,2293,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2007,2310,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2008,2364,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2009,1827,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2010,1539,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2011,1351,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PRV,_T,_T,_T,_T,2012,1417,PS,,A,UIS: EDUNF_STU_L3_VOC_PRV,0,A
