Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,1998,15560,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,1999,15133,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2000,14501,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2001,16387,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2002,18495,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2003,20291,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2004,21952,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2005,24507,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2006,26956,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2007,27841,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2008,27288,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2009,19831,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2010,18467,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2011,17346,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2012,17763,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2013,22881,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L3_VOC_PUB,_T,_T,_T,_T,2014,25209,PS,,A,UIS: EDUNF_STU_L3_VOC_PUB,0,A
