Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,1998,0,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,1999,0,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2000,0,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2001,0,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2002,0,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,Z
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2003,0,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2004,405,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2005,983,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2006,1716,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2007,5761,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2008,9506,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2009,13344,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2010,23409,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2011,27354,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2012,34582,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2013,,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2014,,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2015,,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2016,,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2017,,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2018,23317,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2003,20052,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2014,13680,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2015,11582,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2016,10760,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2017,10423,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2018,10589,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PRV,_T,_T,_T,_T,2006,27212,PS,,A,UIS: EDUNF_STU_L5T8_PRV,0,A
