Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,1998,35902,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,1999,38502,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2000,40125,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2001,40859,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2002,42160,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2003,43600,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2004,52609,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2005,62274,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2006,73031,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2007,81102,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2008,81100,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2009,79795,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2010,98917,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2011,107523,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2012,126257,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2013,,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2014,,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2015,,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2016,,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2017,,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,X
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2018,108516,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2003,84839,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2014,99410,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2015,94283,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2016,98570,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2017,94415,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2018,92302,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2006,154081,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2007,156149,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2008,155458,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2009,157916,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2010,157208,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2011,159271,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2012,163790,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2013,165969,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2014,173756,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2015,180520,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2016,184840,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2017,184304,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2018,183794,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2010,87626,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2011,88153,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
ECARO:TRANSMONEE(1.0),BA,EDUNF_STU_L5T8_PUB,_T,_T,_T,_T,2012,85385,PS,,A,UIS: EDUNF_STU_L5T8_PUB,0,A
