Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1971,25469,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1972,28668,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1978,14695,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1981,14568,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1983,17500,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1984,19670,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1985,21285,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1986,21995,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1987,22403,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1988,23784,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1989,25201,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1990,25964,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1991,27461,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1992,28001,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1993,32684,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1994,30185,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1995,28331,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1996,30086,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1997,34257,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1998,35902,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1999,38502,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2000,40125,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2001,40859,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2002,42160,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2003,43600,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2004,53014,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2005,63257,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2006,74747,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2007,86863,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2008,90606,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2009,93139,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2010,122326,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2011,134877,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2012,160839,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2013,174851,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2014,176003,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2015,162659,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2016,148597,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2017,141850,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2018,131833,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1986,55871,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1988,55700,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1989,58959,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1990,65300,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1991,69470,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1992,67019,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1993,58729,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1994,47203,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1995,45983,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1996,40326,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1997,54818,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1998,82776,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,1999,89261,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2000,92914,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2001,90417,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2002,99761,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2003,104891,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2004,108750,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2005,115475,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2006,127499,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2007,135725,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2008,141407,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2009,146224,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2010,146125,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2011,141455,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2012,121265,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2013,115207,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2014,113090,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2015,105865,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2016,109330,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2017,104838,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_STU_L5T8_TOT,_T,_T,_T,_T,2018,102891,PS,,A,UIS: EDUNF_STU_L5T8_TOT,0,A
