Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,1997,17584,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2000,16504,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2001,16190,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2003,16028,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2008,15825,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2009,16023,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2010,15832,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2011,15119,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2012,14979,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2013,14861,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2014,14708,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2015,14658,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2016,15140,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2017,15123,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TEACH_L2,_T,_T,_T,_T,2018,15067,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TEACH_L2,_T,_T,_T,_T,2014,,PS,,A,UIS: EDUNF_TEACH_L2,0,X
ECARO:TRANSMONEE(1.0),AM,EDUNF_TEACH_L2,_T,_T,_T,_T,2015,,PS,,A,UIS: EDUNF_TEACH_L2,0,X
ECARO:TRANSMONEE(1.0),AM,EDUNF_TEACH_L2,_T,_T,_T,_T,2018,13777,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TEACH_L2,_T,_T,_T,_T,2015,,PS,,A,UIS: EDUNF_TEACH_L2,0,X
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TEACH_L2,_T,_T,_T,_T,2016,83928,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TEACH_L2,_T,_T,_T,_T,2017,91580,PS,,A,UIS: EDUNF_TEACH_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TEACH_L2,_T,_T,_T,_T,2018,89180,PS,,A,UIS: EDUNF_TEACH_L2,0,A
