Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,1995,99.51973,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2000,97.24541,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2006,98.38603,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2007,98.21509,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2008,99.22479,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2009,98.08978,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2010,99.18615,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2011,99.48943,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2012,99.75281,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2013,99.80782,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2014,99.08036,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2015,98.06952,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2016,98.17323,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDUNF_TRANRA_L2,_T,_T,_T,_T,2017,98.53003,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2002,98.20849,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2003,98.05356,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2004,99.74063,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2005,99.50317,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2006,99.31933,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2007,99.24635,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2011,97.78508,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2013,96.97760,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2014,99.90480,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2015,98.48073,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2016,98.09939,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDUNF_TRANRA_L2,_T,_T,_T,_T,2017,98.26575,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,1992,95.85673,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,1993,96.78747,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,1995,49.33382,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,1996,96.23729,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,1998,97.91813,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,1999,97.95652,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2000,98.23226,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2001,98.26137,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2002,98.10081,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2003,99.24017,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2004,99.26753,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2005,99.06910,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2006,99.08371,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2007,99.58016,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2008,99.18794,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2009,98.55379,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2010,98.72166,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2011,99.03984,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2012,99.08856,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2013,99.07489,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2014,99.44771,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDUNF_TRANRA_L2,_T,_T,_T,_T,2015,99.41522,PCNT,,A,UIS: EDUNF_TRANRA_L2,0,A
