Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,1994,3.44698,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,1995,3.81464,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,1996,3.08351,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,1997,3.37947,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,1998,3.53698,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,1999,3.59293,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2000,3.43017,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2001,3.45870,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2002,3.11780,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2003,3.13824,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2004,3.22752,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2005,3.28155,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2006,3.19146,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2007,3.27593,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2013,3.53930,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2015,3.43797,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2016,3.96209,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2017,3.61025,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GDP,_T,_T,_T,_T,2018,2.46866,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,E
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,1996,1.84843,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,1999,2.23519,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2000,2.77273,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2001,2.46944,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2002,2.13504,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2003,2.14504,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2004,2.48673,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2005,2.71203,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2006,2.71577,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2007,3.01894,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2008,3.17273,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2009,3.84079,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2010,3.24900,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2011,3.14385,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2012,2.77248,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2013,2.65018,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2014,2.24724,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2015,2.80591,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2016,2.75812,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GDP,_T,_T,_T,_T,2017,2.70759,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,1992,6.05797,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,1995,3.33737,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,1996,3.51257,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,1998,3.38002,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,1999,4.21214,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2000,3.85399,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2001,3.50342,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2002,3.15446,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2003,3.28615,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2004,3.44770,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2005,2.97462,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2006,2.55552,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2007,2.54928,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2008,2.44093,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2009,3.22431,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2010,2.78062,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2011,2.43564,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2012,2.06763,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2013,2.44213,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2014,2.63304,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2015,2.95168,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2016,2.90341,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GDP,_T,_T,_T,_T,2017,2.47382,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GDP,_T,_T,_T,_T,1980,3.52948,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GDP,_T,_T,_T,_T,1990,4.45406,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GDP,_T,_T,_T,_T,1991,5.42962,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GDP,_T,_T,_T,_T,1992,5.26046,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GDP,_T,_T,_T,_T,1993,4.95049,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GDP,_T,_T,_T,_T,1994,4.17066,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GDP,_T,_T,_T,_T,1995,2.38662,GDP_PERC,,A,UIS: EDU_FIN_GDP,0,A
