Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2013,6.04230,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2015,4.42911,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2016,7.01987,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2017,4.21443,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2012,24.84025,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2013,23.52006,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2014,31.19709,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2016,23.01848,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,2017,20.58594,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GOV_EXP_EDU_L3,_T,_T,_T,_T,1998,23.34263,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L3,0,A
