Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,1994,10.74165,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2013,21.92905,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2015,21.15599,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2016,19.09854,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2017,18.85009,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,1996,14.94845,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2008,11.29243,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2009,9.36120,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2010,11.65396,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2011,11.29190,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2012,9.49214,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2013,10.31781,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2014,13.62262,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2015,12.68896,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2016,13.18401,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2017,12.99242,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,1992,11.16438,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,1995,7.49753,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,1996,7.30055,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,1998,6.59794,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,1999,6.12115,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2000,6.00557,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2001,6.01177,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2002,5.82049,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2003,5.57932,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2004,6.41630,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2005,6.94571,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2006,7.00232,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2007,7.94791,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2008,11.33714,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2009,13.96427,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2010,14.03889,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2011,14.62596,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2015,12.81609,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_EDU_L5T8,_T,_T,_T,_T,2016,17.08263,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_EDU_L5T8,0,A
