Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,1994,6.21027,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,1996,16.15120,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2008,8.41691,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2009,11.30525,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2011,9.00356,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2012,10.13251,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2013,10.95400,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2015,11.76117,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2016,11.91383,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2017,11.99706,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,1992,14.04110,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,1995,18.94856,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,1996,15.82004,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,1998,9.29638,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,1999,8.60445,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2000,7.69985,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2001,8.15683,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2002,8.09642,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2003,7.87549,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2004,7.26960,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2005,6.85921,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2006,6.67723,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2007,6.38741,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2008,6.88676,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2009,6.76175,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2010,7.05141,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2011,6.95616,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2015,9.48292,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2016,10.48996,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,2017,11.29221,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_FIN_GOV_EXP_L02,_T,_T,_T,_T,1970,13.13139,GOV_EXP_EDU,,A,UIS: EDU_FIN_GOV_EXP_L02,0,A
