Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,1997,11.15339,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,1998,9.62407,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,1999,9.68246,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2000,10.13703,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2001,10.58193,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2002,9.88692,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2003,10.57360,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2004,10.70316,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2005,11.35797,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2006,10.93295,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2007,11.17719,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2013,12.12391,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2015,11.31770,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2016,13.59696,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2017,12.39080,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2018,8.43546,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,E
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2005,13.64809,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2006,13.57852,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2007,13.46559,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2008,14.26845,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2009,13.45122,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2010,12.40051,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2011,12.59334,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2012,12.36897,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2013,11.13676,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2014,9.36712,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2015,10.65636,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2016,10.19720,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2017,10.40313,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,1995,41.40279,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,1996,24.11673,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,1998,18.75694,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,1999,21.60498,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_FIN_GOV_EXP_T,_T,_T,_T,_T,2000,21.11908,GOV_EXP_T,,A,UIS: EDU_FIN_GOV_EXP_T,0,A
