Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,1994,438.69234,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,1995,550.16168,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,1996,485.18449,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,1997,473.68560,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,1998,539.53912,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,1999,618.72018,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2000,631.74661,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2001,689.80787,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2002,650.04908,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2003,690.49313,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2004,749.26723,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2005,803.93652,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2006,827.99720,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2007,900.73616,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_FIN_PPP_CONST,_T,_T,_T,_T,2013,1177.78471,PPP_CONST,,A,UIS: EDU_FIN_PPP_CONST,0,A
