Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,1998,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,1999,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2000,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2001,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2002,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2003,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2004,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2005,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2006,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2007,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2008,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2009,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2010,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2011,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2012,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2013,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2014,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2015,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2016,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2017,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2018,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,1999,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2000,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2001,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2002,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2003,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2004,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2005,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2006,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2007,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2008,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2009,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2010,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2011,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2012,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2013,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2014,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2015,0,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2016,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_FREE_EDU_L02,_T,_T,_T,_T,2017,3,YR,,A,UIS: EDU_SDG_FREE_EDU_L02,0,A
