Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2013,14.26533,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2014,13.42866,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2015,12.81290,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2016,11.43839,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2017,10.63226,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2018,12.02976,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2016,6.94158,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2017,6.57152,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2018,7.00045,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2014,8.12136,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2015,8.30018,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2016,8.18488,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2017,8.24457,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2018,8.41915,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2013,8.71161,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2014,8.34240,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2015,8.35369,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2016,8.15128,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2017,7.96711,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2018,7.79948,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2012,10.73613,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2014,9.05254,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2015,9.23508,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2016,8.99959,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2017,8.76802,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_PQTR_L2,_T,_T,_T,_T,2018,8.49857,PS,,A,UIS: EDU_SDG_PQTR_L2,0,A
