Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2007,0.92330,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2008,1.22592,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2009,0.79617,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2010,0.90214,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2016,1.07368,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BA,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2006,0.88360,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BA,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2007,0.89169,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BA,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2008,1.06196,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BA,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2010,0.91008,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BA,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2011,0.98997,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BA,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2012,1.05593,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BA,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2016,0.95506,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2007,0.92348,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2011,0.89455,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2016,1.00810,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2007,0.80769,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2011,0.99462,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2016,0.86061,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),EE,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2007,1.20985,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),EE,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2011,1.13508,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),EE,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2016,1.27022,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2017,1.37312,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2007,0.98598,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2016,0.95692,GPI,,A,UIS: EDU_SDG_PRYA,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_PRYA,_T,Y_GE15,_T,_T,2007,1.13542,GPI,,A,UIS: EDU_SDG_PRYA,0,A
