Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2018,19.91790,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2002,8.18742,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2009,11.13326,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2010,11.20104,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2011,12.02640,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2012,11.79543,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2013,10.80330,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2014,11.38602,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2015,10.91014,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2016,10.62674,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2017,10.24123,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_PTTR_L02,_T,_T,_T,_T,1999,9.54266,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2000,10.52004,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2001,10.96801,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_PTTR_L02,_T,_T,_T,_T,2002,10.49431,PS,,A,UIS: EDU_SDG_PTTR_L02,0,A
