Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2013,90.53899,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2014,91.82078,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2015,93.19825,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2016,94.66314,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2017,95.31839,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2018,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2016,99.94400,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2017,99.85150,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2018,99.86656,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2014,98.14112,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2015,99.42459,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2016,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2017,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2018,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2013,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2014,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2015,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2016,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2017,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2018,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2012,98.57763,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2014,98.90371,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2015,96.44881,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2016,97.62294,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2017,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_QUTP_L2,_T,_T,_T,_T,2018,100,PCNT,,A,UIS: EDU_SDG_QUTP_L2,0,A
