Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_SCH_L2,_T,_T,_T,_T,2018,7.13755,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,A
ECARO:TRANSMONEE(1.0),KZ,EDU_SDG_SCH_L2,_T,_T,_T,_T,2017,8.99199,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,A
ECARO:TRANSMONEE(1.0),KZ,EDU_SDG_SCH_L2,_T,_T,_T,_T,2018,11.98026,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_SCH_L2,_T,_T,_T,_T,2016,17.29428,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_SCH_L2,_T,_T,_T,_T,2014,21.40000,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,E
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_SCH_L2,_T,_T,_T,_T,2015,21.50000,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,E
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_SCH_L2,_T,_T,_T,_T,2016,21.20000,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,E
ECARO:TRANSMONEE(1.0),UA,EDU_SDG_SCH_L2,_T,_T,_T,_T,2016,78.52408,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,A
ECARO:TRANSMONEE(1.0),UA,EDU_SDG_SCH_L2,_T,_T,_T,_T,2017,77.25029,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,A
ECARO:TRANSMONEE(1.0),UA,EDU_SDG_SCH_L2,_T,_T,_T,_T,2018,78.63785,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_SCH_L2,_T,_T,_T,_T,2017,12.96622,PCNT,,A,UIS: EDU_SDG_SCH_L2,0,A
