Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,73.00099,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,58.56877,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2011,71.79266,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,78.41877,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,35.22814,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2011,41.25604,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,47.26423,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,58.47440,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2003,80.84263,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,80.67361,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2011,55.64512,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,79.82846,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2011,57.02513,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,69.34262,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2003,54.66024,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,66.63962,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2011,72.04480,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,75.48252,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,73.58111,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,59.69237,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,78.68345,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,39.66143,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,47.38981,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,59.84575,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2003,83.79860,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,83.64356,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,69.93303,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2003,56.45055,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,70.40952,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,76.69009,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,50.63924,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,31.56825,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,69.68136,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,15.75780,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,46.99008,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,39.33290,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2003,59.03007,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,51.37816,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,1995,51.92411,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2003,28.72729,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2007,42.49158,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_MATH,_T,_T,_T,_T,2015,51.41327,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_MATH,0,A
