Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,97.27002,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,98.25079,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,97.03947,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,82.02211,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,86.48549,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,86.47637,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,98.54787,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,98.21378,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,99.19672,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),MK,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,66.67203,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),MK,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,65.76236,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,93.03615,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,94.58391,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,98.00746,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,88.39766,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,83.94750,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,85.92942,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,91.14447,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,94.43296,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,95.47443,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,96.31910,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,97.98069,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,82.92883,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,98.88744,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,98.37090,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),MK,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,71.83032,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),MK,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,68.31509,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,93.23850,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,90.17689,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,85.39461,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,92.41984,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,94.80214,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,88.23407,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,82.56985,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,96.29898,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,97.87420,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),MK,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,57.08751,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),MK,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,42.15375,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,93.32766,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,73.11269,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,78.47210,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,82.17702,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,81.82438,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,100,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,98.50829,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,98.32369,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,96.08591,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,85.97293,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,89.30771,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,97.63380,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,99.71464,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),LV,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,98.94098,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),MK,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,79.77732,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),MK,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,77.96943,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,85.72258,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,96.82195,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),PL,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,99.36430,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,71.88285,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,92.93214,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),RO,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,91.45229,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,94.74350,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,96.17306,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,96.52313,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),SI,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,96.89496,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2001,96.87328,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2011,92.26861,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2016,84.88309,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_STU_L1_G2OR3_READING,_T,_T,_T,_T,2006,80.21758,PCNT,,A,UIS: EDU_SDG_STU_L1_G2OR3_READING,0,A
