Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2003,42.74586,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2007,59.99581,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,40.91933,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2015,54.56382,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,46.41994,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2015,75.11706,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,60.42025,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2015,67.45963,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,1995,65.44754,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2003,75.97320,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2007,67.13620,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,70.38942,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2015,74.91240,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),KG,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2014,34.70000,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),KZ,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2007,81.08918,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),KZ,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,61.76096,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),KZ,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2015,79.67441,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2003,78.93038,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2007,77.32814,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,79.07955,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2015,80.65363,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2003,65.75611,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,69.72544,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2015,71.64543,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2003,76.48347,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2007,80.52884,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,81.82249,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2015,88.94080,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2007,63.16605,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_MATH,_T,_T,_T,_T,2011,68.79612,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_MATH,0,A
