Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2011,81.85957,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2016,80.78633,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,95.04930,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,94.76472,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2011,93.04844,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2016,94.78671,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2011,98.99943,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,97.54714,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,97.43173,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2011,94.64100,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2016,97.13811,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),KG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2014,36.20000,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),KZ,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2016,98.09229,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,98.01030,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,98.70484,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2011,96.53329,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2016,97.26508,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,88.49659,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,91.26234,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,96.19926,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,98.43930,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2011,99.04935,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2016,99.10516,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,93.93099,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,94.36112,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2011,95.75281,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2016,93.44578,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),TR,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,72.31310,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,96.28268,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,95.28900,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,98.53514,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,97.48251,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,98.45066,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,98.70949,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,91.47789,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,91.65461,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,96.82951,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,98.43333,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,94.61966,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,94.81510,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),TR,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,73.43590,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,91.61729,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,81.85042,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,91.95600,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),HU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,94.69187,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,93.28213,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),LT,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,99.49592,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,84.88390,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,89.54707,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,92.05345,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),RU,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,98.96743,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,88.46046,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),SK,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2006,74.99424,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
ECARO:TRANSMONEE(1.0),TR,EDU_SDG_STU_L1_GLAST_READING,_T,_T,_T,_T,2001,54.84066,PCNT,,A,UIS: EDU_SDG_STU_L1_GLAST_READING,0,A
