Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2000,36.61129,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2009,32.26541,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2012,39.33503,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2015,46.71703,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2018,57.62715,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2003,53.96795,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2007,63.48834,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2011,49.01759,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AM,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2015,50.40721,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2006,89.46450,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_STU_L2_MATH,_T,_T,_T,_T,2009,54.72519,PCNT,,A,UIS: EDU_SDG_STU_L2_MATH,0,A
