Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2000,29.64437,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2009,43.33176,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2012,47.66456,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2015,49.72273,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),AL,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2018,47.76432,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2006,20.58498,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2009,27.21145,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),BA,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2018,46.32493,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2000,59.66460,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2006,48.92784,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2009,59.01265,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2012,60.60917,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2015,58.53054,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),BG,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2018,52.89720,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2018,76.58973,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2000,82.49808,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2003,80.68714,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2006,75.22457,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2009,76.94532,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2012,83.13411,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2015,77.97674,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),CZ,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2018,79.25952,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),EE,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2006,86.35941,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),EE,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2009,86.66735,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
ECARO:TRANSMONEE(1.0),EE,EDU_SDG_STU_L2_READING,_T,_T,_T,_T,2012,90.87593,PCNT,,A,UIS: EDU_SDG_STU_L2_READING,0,A
