Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2018,71.89347,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2013,90.00259,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2014,91.14990,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2015,91.46547,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2016,91.40575,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2017,91.60088,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2018,91.54911,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2000,92.97521,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2008,95.25217,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2009,94.83919,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,E
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,_T,_T,_T,_T,1999,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2000,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2001,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2002,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2003,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2016,97.11469,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2017,98.85642,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2018,98.97647,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2007,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),TJ,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2003,94.34525,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2017,93.43234,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_TRTP_L3,_T,_T,_T,_T,2018,90.39238,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),AZ,EDU_SDG_TRTP_L3,F,_T,_T,_T,2018,74.29099,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,F,_T,_T,_T,2013,90.95771,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,F,_T,_T,_T,2014,91.95834,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,F,_T,_T,_T,2015,92.23427,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,F,_T,_T,_T,2016,92.02342,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,F,_T,_T,_T,2017,92.52941,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),BY,EDU_SDG_TRTP_L3,F,_T,_T,_T,2018,92.51403,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_TRTP_L3,F,_T,_T,_T,2000,92.55237,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),GE,EDU_SDG_TRTP_L3,F,_T,_T,_T,2009,95.21233,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,E
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,F,_T,_T,_T,1999,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,F,_T,_T,_T,2000,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,F,_T,_T,_T,2001,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,F,_T,_T,_T,2002,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),HR,EDU_SDG_TRTP_L3,F,_T,_T,_T,2003,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_TRTP_L3,F,_T,_T,_T,2016,96.65005,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_TRTP_L3,F,_T,_T,_T,2017,99.17802,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),MD,EDU_SDG_TRTP_L3,F,_T,_T,_T,2018,99.35856,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),RS,EDU_SDG_TRTP_L3,F,_T,_T,_T,2007,100,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
ECARO:TRANSMONEE(1.0),UZ,EDU_SDG_TRTP_L3,F,_T,_T,_T,2017,94.16087,PCNT,,A,UIS: EDU_SDG_TRTP_L3,0,A
