Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),ARM,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),AZE,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),BGR,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),BIH,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),BLR,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),CZE,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),EST,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),GEO,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),HRV,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),HUN,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),KAZ,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),KGZ,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),LTU,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),LVA,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),MDA,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),MKD,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),MNE,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),POL,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),ROU,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),RUS,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),SRB,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),SVK,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),SVN,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),TJK,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),TUR,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),UKR,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
ECARO:TRANSMONEE(1.0),UZB,GN_MTNTY_LV_BNFTS,F,_T,_T,_T,2018,Yes,BINARY,,,World Bank Women Business and the Law,,A
