Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,10.7,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,19.1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,24.7,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,37.6,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,54.9,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,54.8,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,68.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,89.7,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,85.9,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),AZE,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,74.7,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,63.6,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,52.9,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,63.2,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,91.9,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,88.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,90.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),BLR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,88.8,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,95.0,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,91.7,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KAZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,69.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,48.4,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,81.1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,82.5,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,85.7,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,60.8,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,74.7,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,76.9,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,82.1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),KGZ,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,78.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,63.4,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,61.5,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,68.1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,68.5,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,69.4,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,77.1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,83.4,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,87.9,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,75.6,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),MDA,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,93.0,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),ROU,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,42.6,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,54.1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,64.8,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,71.5,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,81.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,>95,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TJK,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,88.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),TKM,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,<1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2010,87.4,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2011,91.2,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2012,90.8,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2013,91.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2014,92.1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2015,91.1,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2016,91.0,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2017,92.0,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2018,92.3,PCNT,,1,hiv_src_79,0,E
ECARO:TRANSMONEE(1.0),UKR,HVA_PMTCT_ARV_CVG,_T,_T,_T,_T,2019,92.2,PCNT,,1,hiv_src_79,0,E
