Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ARM,IM_MCV2,_T,Y03,_T,_T,2000,94,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),ARM,IM_MCV2,_T,Y03,_T,_T,2001,96,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),ARM,IM_MCV2,_T,Y03,_T,_T,2002,95,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2000,83,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2001,85,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2002,79,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2003,89,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2004,91,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2005,92,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2006,93,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2007,94,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2008,94,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2009,93,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2010,96,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2011,94,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2012,94,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2013,94,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2014,89,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2015,87,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2016,88,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2017,92,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2018,87,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BGR,IM_MCV2,_T,Y12,_T,_T,2019,87,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BIH,IM_MCV2,_T,Y07,_T,_T,2000,74,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BIH,IM_MCV2,_T,Y07,_T,_T,2001,86,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
ECARO:TRANSMONEE(1.0),BIH,IM_MCV2,_T,Y07,_T,_T,2002,90,PCNT,,,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",0,E
