Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,R,_T,2002,26.7,PCNT,,,MNCH_SRC_643,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,U,_T,2002,62.2,PCNT,,,MNCH_SRC_643,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,_T,_T,2002,41.1,PCNT,,,MNCH_SRC_643,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T19,_T,_T,2009,73.3,PCNT,,,MNCH_SRC_128,0,RA
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,R,_T,2009,56.8,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,U,_T,2009,82.1,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,_T,_T,2009,66.8,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,_T,Q4,2009,84.9,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,_T,Q3,2009,73.0,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,_T,Q1,2009,48.5,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,_T,Q5,2009,92.1,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,_T,Q2,2009,57.6,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T19,_T,_T,2018,72.1,PCNT,,,MNCH_SRC_147,0,RA
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,R,_T,2018,72.7,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,U,_T,2018,81.9,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_ANC4,F,Y15T49,_T,_T,2018,77.8,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_ANC4,F,Y15T19,_T,_T,2000,56.1,PCNT,,,MNCH_SRC_111,0,RA
ECARO:TRANSMONEE(1.0),ARM,MNCH_ANC4,F,Y15T49,R,_T,2000,45.4,PCNT,,,MNCH_SRC_111,0,RP
