Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2000,23.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2001,23.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2002,21.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2003,21.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2004,18.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2005,22.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2006,18.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2007,19.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2008,20.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2009,20.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2010,21.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2011,22.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2012,17.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2013,16.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2014,16.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2015,15.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2016,16.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),ALB,MNCH_MMR,F,Y15T49,_T,_T,2017,15.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2000,47.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2001,44.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2002,43.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2003,44.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2004,39.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2005,42.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2006,35.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2007,34.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2008,32.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
ECARO:TRANSMONEE(1.0),AZE,MNCH_MMR,F,Y15T49,_T,_T,2009,32.0,PER100KLIVEBIRTHS,,,MNCH_SRC_739,0,MD
