Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNCMOM,F,Y15T49,R,_T,2018,86.6,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNCMOM,F,Y15T49,U,_T,2018,88.5,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNCMOM,F,Y15T49,_T,_T,2018,87.7,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNCMOM,F,Y15T49,_T,Q4,2018,89.8,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNCMOM,F,Y15T49,_T,Q3,2018,88.0,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNCMOM,F,Y15T49,_T,Q1,2018,85.6,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNCMOM,F,Y15T49,_T,Q5,2018,89.8,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNCMOM,F,Y15T49,_T,Q2,2018,85.4,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T19,_T,_T,2010,98.8,PCNT,,,MNCH_SRC_131,0,RA
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,R,_T,2010,95.0,PCNT,,,MNCH_SRC_131,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,U,_T,2010,89.8,PCNT,,,MNCH_SRC_131,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,_T,2010,92.0,PCNT,,,MNCH_SRC_131,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q4,2010,88.7,PCNT,,,MNCH_SRC_131,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q3,2010,94.1,PCNT,,,MNCH_SRC_131,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q1,2010,95.2,PCNT,,,MNCH_SRC_131,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q5,2010,91.1,PCNT,,,MNCH_SRC_131,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q2,2010,91.9,PCNT,,,MNCH_SRC_131,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,R,_T,2016,97.0,PCNT,,,MNCH_SRC_142,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,U,_T,2016,97.6,PCNT,,,MNCH_SRC_142,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,_T,2016,97.4,PCNT,,,MNCH_SRC_142,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q4,2016,94.5,PCNT,,,MNCH_SRC_142,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q3,2016,97.6,PCNT,,,MNCH_SRC_142,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q1,2016,95.7,PCNT,,,MNCH_SRC_142,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q5,2016,99.4,PCNT,,,MNCH_SRC_142,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNCMOM,F,Y15T49,_T,Q2,2016,98.7,PCNT,,,MNCH_SRC_142,0,RP
ECARO:TRANSMONEE(1.0),AZE,MNCH_PNCMOM,F,Y15T49,R,_T,2011,80.5,PCNT,,,MNCH_SRC_133,0,RP
ECARO:TRANSMONEE(1.0),AZE,MNCH_PNCMOM,F,Y15T49,U,_T,2011,85.0,PCNT,,,MNCH_SRC_133,0,RP
ECARO:TRANSMONEE(1.0),AZE,MNCH_PNCMOM,F,Y15T49,_T,_T,2011,83.3,PCNT,,,MNCH_SRC_133,0,RP
ECARO:TRANSMONEE(1.0),AZE,MNCH_PNCMOM,F,Y15T49,_T,Q4,2011,86.1,PCNT,,,MNCH_SRC_133,0,RP
ECARO:TRANSMONEE(1.0),AZE,MNCH_PNCMOM,F,Y15T49,_T,Q3,2011,80.5,PCNT,,,MNCH_SRC_133,0,RP
ECARO:TRANSMONEE(1.0),AZE,MNCH_PNCMOM,F,Y15T49,_T,Q1,2011,75.4,PCNT,,,MNCH_SRC_133,0,RP
ECARO:TRANSMONEE(1.0),AZE,MNCH_PNCMOM,F,Y15T49,_T,Q5,2011,88.5,PCNT,,,MNCH_SRC_133,0,RP
ECARO:TRANSMONEE(1.0),AZE,MNCH_PNCMOM,F,Y15T49,_T,Q2,2011,81.9,PCNT,,,MNCH_SRC_133,0,RP
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T19,_T,_T,2012,100.0,PCNT,,,MNCH_SRC_511,0,RA
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T49,R,_T,2012,99.6,PCNT,,,MNCH_SRC_511,0,RP
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T49,U,_T,2012,99.7,PCNT,,,MNCH_SRC_511,0,RP
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T49,_T,_T,2012,99.7,PCNT,,,MNCH_SRC_511,0,RP
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T49,_T,Q4,2012,99.5,PCNT,,,MNCH_SRC_511,0,RP
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T49,_T,Q3,2012,99.5,PCNT,,,MNCH_SRC_511,0,RP
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T49,_T,Q1,2012,100.0,PCNT,,,MNCH_SRC_511,0,RP
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T49,_T,Q5,2012,99.8,PCNT,,,MNCH_SRC_511,0,RP
ECARO:TRANSMONEE(1.0),BLR,MNCH_PNCMOM,F,Y15T49,_T,Q2,2012,99.8,PCNT,,,MNCH_SRC_511,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T49,_T,_T,2018,47.2,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T19,_T,_T,2018,41.9,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T49,R,_T,2018,48.0,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T49,U,_T,2018,46.8,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T49,_T,Q1,2018,39.7,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T49,_T,Q2,2018,50.6,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T49,_T,Q3,2018,53.7,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T49,_T,Q4,2018,45.8,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),GEO,MNCH_PNCMOM,F,Y15T49,_T,Q5,2018,45.4,PCNT,,,MNCH_SRC_238,0,RP
ECARO:TRANSMONEE(1.0),KAZ,MNCH_PNCMOM,F,Y15T19,_T,_T,2015,98.8,PCNT,,,MNCH_SRC_517,0,RA
ECARO:TRANSMONEE(1.0),KAZ,MNCH_PNCMOM,F,Y15T49,R,_T,2015,96.6,PCNT,,,MNCH_SRC_517,0,RP
ECARO:TRANSMONEE(1.0),KAZ,MNCH_PNCMOM,F,Y15T49,U,_T,2015,98.4,PCNT,,,MNCH_SRC_517,0,RP
ECARO:TRANSMONEE(1.0),KAZ,MNCH_PNCMOM,F,Y15T49,_T,_T,2015,97.5,PCNT,,,MNCH_SRC_517,0,RP
ECARO:TRANSMONEE(1.0),KAZ,MNCH_PNCMOM,F,Y15T49,_T,Q4,2015,97.6,PCNT,,,MNCH_SRC_517,0,RP
