Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,_T,2000,83.0,PCNT,,,MNCH_SRC_494,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,R,_T,2005,53.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,U,_T,2005,28.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,_T,2005,45.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,F,Y0T4,_T,_T,2005,61.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,M,Y0T4,_T,_T,2005,32.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,Q4,2005,36.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,Q3,2005,25.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,Q1,2005,56.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,Q5,2005,30.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,Q2,2005,56.0,PCNT,,,MNCH_SRC_498,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,_T,2009,69.6,PCNT,,,MNCH_SRC_128,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,R,_T,2018,73.8,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,_T,2018,75.5,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,_T,2018,89.7,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,_T,2018,82.4,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,F,Y0T4,_T,_T,2018,83.0,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,M,Y0T4,_T,_T,2018,81.9,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ALB,MNCH_PNEUCARE,_T,Y0T4,_T,Q2,2018,88.7,PCNT,,,MNCH_SRC_147,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNEUCARE,_T,Y0T4,R,_T,2000,24.0,PCNT,,,MNCH_SRC_111,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNEUCARE,_T,Y0T4,U,_T,2000,28.0,PCNT,,,MNCH_SRC_111,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNEUCARE,_T,Y0T4,_T,_T,2000,26.0,PCNT,,,MNCH_SRC_111,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNEUCARE,F,Y0T4,_T,_T,2000,29.0,PCNT,,,MNCH_SRC_111,0,RP
ECARO:TRANSMONEE(1.0),ARM,MNCH_PNEUCARE,M,Y0T4,_T,_T,2000,24.0,PCNT,,,MNCH_SRC_111,0,RP
