Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T11,_T,_T,2000,25.9,PCNT,,0,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T11,_T,_T,2005,24.2,PCNT,,0,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T11,_T,_T,2009,26.4,PCNT,,0,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T11,_T,_T,2017,13.1,PCNT,,0,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T23,_T,_T,2000,33.3,PCNT,,0,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T23,_T,_T,2005,22.3,PCNT,,0,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T23,_T,_T,2009,24.9,PCNT,,0,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T23,_T,_T,2017,16.9,PCNT,,0,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T5,_T,_T,2000,24.3,PCNT,,0,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T5,_T,_T,2005,26.1,PCNT,,0,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T5,_T,_T,2009,32.7,PCNT,,0,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M0T5,_T,_T,2017,10.9,PCNT,,0,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M12T17,_T,_T,2000,41.6,PCNT,,0,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M12T17,_T,_T,2005,18.6,PCNT,Unweighted sample size is between 25 and 49,0,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,0,U
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M12T17,_T,_T,2009,28.5,PCNT,,0,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M12T17,_T,_T,2017,24.2,PCNT,,0,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M12T23,_T,_T,2000,39.0,PCNT,,0,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M12T23,_T,_T,2005,20.3,PCNT,,0,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M12T23,_T,_T,2009,23.9,PCNT,,0,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M12T23,_T,_T,2017,21.4,PCNT,,0,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M18T23,_T,_T,2000,36.3,PCNT,,0,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M18T23,_T,_T,2005,22.8,PCNT,Unweighted sample size is between 25 and 49,0,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,0,U
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M18T23,_T,_T,2009,20.0,PCNT,,0,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_ANT_WHZ_PO2,F,M18T23,_T,_T,2017,18.3,PCNT,,0,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,0,RA
