Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),BLR,NT_BF_EXBF,_T,M0T5,_T,B20,2005,13.8,PCNT,,0,"Belarus multiple indicator cluster survey 2005, final report. Minsk, Republic of Belarus: Ministry of Statistics and Analysis [Belarus] and Research Institute of Statistics of the MSA [Belarus], 2007",0,U
ECARO:TRANSMONEE(1.0),BLR,NT_BF_EXBF,_T,M0T5,_T,B20,2012,28.6,PCNT,,0,"Multiple Indicator Cluster Survey of the Situation of Children and Women in the Republic of Belarus (МИКС4), 2012. Final Report",0,U
ECARO:TRANSMONEE(1.0),KAZ,NT_BF_EXBF,_T,M0T5,_T,B20,2006,12.2,PCNT,,0,"Kazakhstan multiple indicator cluster survey 2006. Final report. Astana, Kazakhstan: UNICEF and Agency of the Republic of Kazakhstan on Statistic, 2007",0,RA
ECARO:TRANSMONEE(1.0),KAZ,NT_BF_EXBF,_T,M0T5,_T,B20,2010,33.8,PCNT,,0,"Multiple indicator cluster survey (MICS) in the Republic of Kazakhstan (RK), 2010-2011. Final report. Astana, Kazakhstan: the Agency of Statistics, RK and the Republican State Enterprise Information Computing Center, 2012",0,RA
ECARO:TRANSMONEE(1.0),KAZ,NT_BF_EXBF,_T,M0T5,_T,B20,2015,35.2,PCNT,,0,"2015 Kazakhstan Multiple Indicator Cluster Survey, Final Report. Astana, Kazakhstan: The Statistics Committee of the Ministry of National Economy of the Republic of Kazakhstan, 2016.",0,RA
ECARO:TRANSMONEE(1.0),TKM,NT_BF_EXBF,_T,M0T5,_T,B20,2006,15.4,PCNT,,0,"Turkmenistan multiple indicator cluster survey 2006, Final Report. Ashgabat, Turkmenistan: Turkmenmillihasabat, 2006",0,U
ECARO:TRANSMONEE(1.0),TKM,NT_BF_EXBF,_T,M0T5,_T,B20,2015,58.4,PCNT,,0,Turkmenistan 2015-16 Multiple Indicator Cluster Survey,0,U
ECARO:TRANSMONEE(1.0),SRB,NT_BF_EXBF,_T,M0T5,_T,B20,2005,11.7,PCNT,,0,"Republic of Serbia multiple indicator cluster survey 2005, final report. Belgrade, Republic of Serbia: Statistical Office of the Republic of Serbia and Strategic Marketing Research Agency, 2006",0,RA
ECARO:TRANSMONEE(1.0),SRB,NT_BF_EXBF,_T,M0T5,_T,B20,2010,10.9,PCNT,,0,"Serbia multiple indicator cluster survey 2010 (MICS). Belgrade, Republic of Serbia: Statistical Office of the Republic of Serbia, 2011",0,RA
ECARO:TRANSMONEE(1.0),KGZ,NT_BF_EXBF,_T,M0T5,_T,B20,2005,26.1,PCNT,,0,"Multiple indicator cluster survey 2006, Kyrgyz Republic. Final report. Bishkek, Kyrgyzstan: National Statistical Committee of the Kyrkyz Republic and United Nations Children's Fund, 2007",0,RA
