Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2000,4.9,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2001,4.8,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2002,4.8,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2003,4.8,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2004,4.8,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2005,4.8,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2006,4.7,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2007,4.7,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2008,4.7,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2009,4.7,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2010,4.7,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2011,4.6,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2012,4.6,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2013,4.6,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2014,4.6,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ALB,NT_BW_LBW,_T,_T,_T,_T,2015,4.6,PCNT,hierarchical regression,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2000,8.2,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2001,8.0,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2002,7.8,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2003,7.7,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2004,7.6,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2005,7.5,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2006,7.4,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2007,7.4,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2008,7.4,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2009,7.5,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2010,7.6,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2011,7.7,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2012,8.0,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2013,8.2,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
ECARO:TRANSMONEE(1.0),ARM,NT_BW_LBW,_T,_T,_T,_T,2014,8.6,PCNT,b-spline,,UNICEF-WHO Low birthweight estimates 2019,0,MD
