Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),TJK,NT_CF_MAD,_T,M6T23,_T,B20,2012,18.6,PCNT,,0,"Tajikistan demographic and health survey 2012. Demographic and Health Surveys. Dushanbe, Tajikistan, and Calverton, Maryland, USA: SA, MOH, and ICF International, 2013",0,RA
ECARO:TRANSMONEE(1.0),TJK,NT_CF_MAD,_T,M6T23,_T,B20,2017,4.7,PCNT,,0,"Tajikistan Demographic and Health Survey 2017: Key Indicators. Rockville, Maryland, USA: Statistical Agency under the President of the Republic of Tajikistan(SA), Ministry of Health and Social Protection of Population of the Republic of Tajikistan and ICF",0,RA
ECARO:TRANSMONEE(1.0),KAZ,NT_CF_MAD,_T,M6T23,_T,B20,2015,28.8,PCNT,,0,"2015 Kazakhstan Multiple Indicator Cluster Survey, Final Report. Astana, Kazakhstan: The Statistics Committee of the Ministry of National Economy of the Republic of Kazakhstan, 2016.",0,RA
ECARO:TRANSMONEE(1.0),KGZ,NT_CF_MAD,_T,M6T23,_T,B20,2012,18.0,PCNT,,0,"Kyrgyz Republic demographic and health survey 2012. Demographic and Health Surveys. Bishkek, Kyrgyz Republic, and Calverton, Maryland, USA: NSC, MOH, and ICF International, 2013",0,RA
ECARO:TRANSMONEE(1.0),KGZ,NT_CF_MAD,_T,M6T23,_T,B20,2014,27.1,PCNT,,0,"Kyrgyzstan multiple indicator cluster survey 2014: Final Report (MICS). Bishkek, Kyrgyzstan: National Statistical Committee of the Kyrgyz Republic and UNICEF, 2014.",0,RA
ECARO:TRANSMONEE(1.0),KGZ,NT_CF_MAD,_T,M6T23,_T,B20,2018,34.7,PCNT,,0,"Kyrgyzstan Multiple Indicator Cluster Survey 2018, Survey Findings Report. Bishkek, Kyrgyzstan: National Statistical Committee of the Kyrgyz Republic and UNICEF. ",0,RA
ECARO:TRANSMONEE(1.0),ALB,NT_CF_MAD,_T,M6T23,_T,B20,2017,23.8,PCNT,,0,"Albania Demographic and Health Survey 2017-18. Tirana, Albania: Institute of Statistics, Institute of Public Health, and ICF",0,RA
ECARO:TRANSMONEE(1.0),SRB,NT_CF_MAD,_T,M6T23,_T,B20,2014,53.5,PCNT,,0,"2014 Serbia multiple indicator cluster survey and 2014 Serbia Roma Settlements multiple indicator cluster survey (MICS). Key findings. Belgrade, Serbia: Statistical Office of the Republic of Serbia and UNICEF, 2014.",0,RA
ECARO:TRANSMONEE(1.0),ARM,NT_CF_MAD,_T,M6T23,_T,B20,2010,15.9,PCNT,,0,"Armenia demographic and health survey 2010. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ICF International, 2012",0,RA
ECARO:TRANSMONEE(1.0),ARM,NT_CF_MAD,_T,M6T23,_T,B20,2015,20.5,PCNT,,0,"Armenia Demographic and Health Survey 2015-16. Rockville, Maryland, USA: National Statistical Service, Ministry of Health, and ICF",0,RA
ECARO:TRANSMONEE(1.0),MNE,NT_CF_MAD,_T,M6T23,_T,B20,2013,47.5,PCNT,,0,"2013 Montenegro multiple indicator cluster survey and 2013 Montenegro Roma settlements multiple indicator cluster survey, (MICS): Key findings. Podgorica, Montenegro: MONSTAT and UNICEF, 2014.",0,RA
ECARO:TRANSMONEE(1.0),TKM,NT_CF_MAD,_T,M6T23,_T,B20,2015,72.9,PCNT,,0,Turkmenistan 2015-16 Multiple Indicator Cluster Survey,0,RA
ECARO:TRANSMONEE(1.0),KGZ,NT_CF_MAD,_T,M6T23,_T,B40,2012,16.3,PCNT,,0,"Kyrgyz Republic demographic and health survey 2012. Demographic and Health Surveys. Bishkek, Kyrgyz Republic, and Calverton, Maryland, USA: NSC, MOH, and ICF International, 2013",0,RA
ECARO:TRANSMONEE(1.0),KGZ,NT_CF_MAD,_T,M6T23,_T,B40,2014,28.9,PCNT,,0,"Kyrgyzstan multiple indicator cluster survey 2014: Final Report (MICS). Bishkek, Kyrgyzstan: National Statistical Committee of the Kyrgyz Republic and UNICEF, 2014.",0,RA
