Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,M,Y2T14,_T,_T,2018,49.4,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,F,Y2T14,_T,_T,2018,45.4,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y2T14,_T,_T,2018,47.5,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y2T4,_T,_T,2018,42.8,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y5T9,_T,_T,2018,51.3,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y10T14,_T,_T,2018,46.2,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y2T14,_T,Q1,2018,52.8,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y2T14,_T,Q2,2018,50.2,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y2T14,_T,Q3,2018,51.2,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y2T14,_T,Q4,2018,46.4,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y2T14,_T,Q5,2018,34.6,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_1-14_PS-PSY-V_CGVR,_T,Y2T14,U,_T,2018,45.9,PCNT,,0,DHS 2017-18,,RP
