Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,Y0T4,_T,_T,2018,98.4,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,M,Y0T4,_T,_T,2018,98.9,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,F,Y0T4,_T,_T,2018,98,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,M0T11,_T,_T,2018,97.7,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,M12T23,_T,_T,2018,98.9,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,M24T35,_T,_T,2018,98.8,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,M36T47,_T,_T,2018,97.8,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,M48T59,_T,_T,2018,98.9,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,Y0T4,_T,Q1,2018,98.1,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,Y0T4,_T,Q2,2018,98.7,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,Y0T4,_T,Q3,2018,96.6,PCNT,,0,DHS 2017-18,,RP
ECARO:TRANSMONEE(1.0),ALB,PT_CHLD_Y0T4_REG,_T,Y0T4,_T,Q4,2018,99.2,PCNT,,0,DHS 2017-18,,RP
